Typ zgłoszenia,Klucz zgłoszenia,Id. zgłoszenia,Podsumowanie,Osoba przypisana,ID osoby przypisanej,Osoba zgłaszająca,ID osoby zgłaszającej,Priorytet,Status,Rozwiązanie,Utworzono,Zaktualizowano,Termin
Podzadanie,MA-155,10154,Change arrow icon in event pop-up,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,16/lut/23 6:15 PM,29/sty/25 8:28 PM,
Story,MA-154,10153,Remote test environment,,,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,15/lut/23 1:33 PM,29/sty/25 7:14 PM,
Podzadanie,MA-153,10152,TestDictionaryKeys should contain test function,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,15/lut/23 1:00 PM,29/sty/25 7:14 PM,
Podzadanie,MA-152,10151,Check if available slots are less or equal than all slots,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,15/lut/23 12:59 PM,29/sty/25 7:14 PM,
Podzadanie,MA-151,10150,Use @GeneratedMocks instead class mock,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,15/lut/23 12:58 PM,29/sty/25 8:28 PM,
Podzadanie,MA-150,10149,Include testWidgets in testIsRow function,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,15/lut/23 12:56 PM,29/sty/25 8:28 PM,
Podzadanie,MA-149,10148,Refactor code to use DI,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,13/lut/23 10:27 AM,29/sty/25 7:14 PM,
Podzadanie,MA-148,10147,Add DI to project,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,13/lut/23 10:27 AM,29/sty/25 7:14 PM,
Podzadanie,MA-147,10146,Research current the most popular DI frameworks for flutter,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,13/lut/23 10:27 AM,29/sty/25 8:28 PM,
Podzadanie,MA-146,10145,Find out how to remove getters and setters with spring rest,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,13/lut/23 10:26 AM,29/sty/25 8:29 PM,
Zadanie,MA-145,10144,Planning - Sprint 11,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,13/lut/23 10:18 AM,29/sty/25 7:14 PM,
Zadanie,MA-144,10143,Retrospective - Sprint 7,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,13/lut/23 10:18 AM,29/sty/25 7:14 PM,
Podzadanie,MA-143,10142,Refactor main class,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Odrzucono,,10/lut/23 9:45 PM,29/sty/25 7:14 PM,
Podzadanie,MA-142,10141,Refactor user widget,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,10/lut/23 9:42 PM,29/sty/25 8:28 PM,
Podzadanie,MA-141,10140,Refactor GoogleMapWidget,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,10/lut/23 9:30 PM,29/sty/25 7:14 PM,
Podzadanie,MA-140,10139,Refactor unit tests,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,10/lut/23 9:13 PM,29/sty/25 7:14 PM,
Podzadanie,MA-139,10138,Change using DateTime for Clock,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Odrzucono,,10/lut/23 12:34 PM,29/sty/25 7:14 PM,
Podzadanie,MA-138,10137,Change test samples to parametrized,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,10/lut/23 9:13 AM,29/sty/25 7:13 PM,
Podzadanie,MA-137,10136,Extract skill level prefixes to enum,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,09/lut/23 9:50 AM,29/sty/25 7:13 PM,
Story,MA-136,10135,Add some dependency injecton framework,,,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,09/lut/23 7:42 AM,29/sty/25 8:30 PM,
Podzadanie,MA-135,10134,Show event duration on details item,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,08/lut/23 12:23 PM,29/sty/25 7:13 PM,
Podzadanie,MA-134,10133,Show event duration on pop-up,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,08/lut/23 12:23 PM,29/sty/25 7:14 PM,
Story,MA-133,10132,How long to event,,,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,08/lut/23 12:19 PM,29/sty/25 7:14 PM,
Podzadanie,MA-132,10131,Calculate event duration on backend,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,08/lut/23 12:17 PM,29/sty/25 7:14 PM,
